"12,THISIO,130"
"790,MONASTIRAKI,10"
"790,THISIO,10"
"1,MONASTIRAKI,90"
"1,THISIO,90"
"035,MONASTIRAKI,153"
"227,MONASTIRAKI,101"
"500,MONASTIRAKI,9"
"049,MONASTIRAKI,127"
"049,METAXOURGHIO,127"
"049,THISIO,127"
"914,METAXOURGHIO,16"
"914,THISIO,16"
"838,METAXOURGHIO,29"
"838,THISIO,29"
"813,MONASTIRAKI,120"
"500,METAXOURGHIO,9"
"500,THISIO,9"
"856,METAXOURGHIO,147"
"856,MONASTIRAKI,147"
"856,THISIO,147"
"815,METAXOURGHIO,78"
"815,MONASTIRAKI,78"
"815,THISIO,78"
"21,METAXOURGHIO,98"
"21,MONASTIRAKI,98"
"21,OMONIA,98"
"21,THISIO,98"
"841,METAXOURGHIO,54"
"841,MONASTIRAKI,54"
"841,OMONIA,54"
"841,THISIO,54"
"842,METAXOURGHIO,55"
"842,MONASTIRAKI,55"
"842,OMONIA,55"
"842,THISIO,55"
"035,METAXOURGHIO,153"
"035,THISIO,153"
"227,METAXOURGHIO,101"
"227,THISIO,101"
"866,METAXOURGHIO,65"
"866,THISIO,65"
"035,KERAMEIKOS,153"
"049,KERAMEIKOS,127"
"227,KERAMEIKOS,101"
"500,KERAMEIKOS,9"
"914,KERAMEIKOS,16"
"815,KERAMEIKOS,78"
"838,KERAMEIKOS,29"
"21,KERAMEIKOS,98"
"841,KERAMEIKOS,54"
"842,KERAMEIKOS,55"
"049,PETRALONA,127"
"914,PETRALONA,16"
"815,PETRALONA,78"
"838,PETRALONA,29"
"21,PETRALONA,98"
"841,PETRALONA,54"
"842,PETRALONA,55"
"837,METAXOURGHIO,52"
"837,THISIO,52"
"806,METAXOURGHIO,55"
"806,THISIO,55"
"811,METAXOURGHIO,54"
"811,THISIO,54"
"837,MONASTIRAKI,52"
"806,MONASTIRAKI,55"
"822,MONASTIRAKI,115"
"822,OMONIA,115"
"837,OMONIA,52"
"730,MONASTIRAKI,101"
"730,OMONIA,101"
"806,OMONIA,55"
"024,AGHIOS ELEFTHERIOS,16"
"856,KERAMEIKOS,147"
"836,KERAMEIKOS,3"
"876,KERAMEIKOS,67"
"866,KERAMEIKOS,65"
"813,KERAMEIKOS,120"
