1,837,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,721,,,,,162,841,,,,,,,,,,,,,,,,,,,,,,
191,504,,,,,163,800,,,,,,,,,,,,,,,,,,,,,,
192,501,,,,,164,820,,,,,,,,,,,,,,,,,,,,,,
193,406,,,,,165,809,,,,,,,,,,,,,,,,,,,,,,
194,724,,,,,166,846,,,,,,,,,,,,,,,,,,,,,,
195,604,,,,,167,711,,,,,,,,,,,,,,,,,,,,,,
196,619,,,,,168,842,,,,,,,,,,,,,,,,,,,,,,
197,755,,,,,169,852,,,,,,,,,,,,,,,,,,,,,,
198,755B,,,,,170,810,,,,,,,,,,,,,,,,,,,,,,
199,825,,,,,171,A2,,,,,,,,,,,,,,,,,,,,,,
200,130,,,,,172,115,,,,,,,,,,,,,,,,,,,,,,
201,A1,,,,,173,52,,,,,,,,,,,,,,,,,,,,,,
202,16,,,,,174,220,,,,,,,,,,,,,,,,,,,,,,
203,859,,,,,175,205,,,,,,,,,,,,,,,,,,,,,,
204,843,,,,,176,112,,,,,,,,,,,,,,,,,,,,,,
205,832,,,,,177,206,,,,,,,,,,,,,,,,,,,,,,
206,833,,,,,178,237,,,,,,,,,,,,,,,,,,,,,,
207,826,,,,,179,137,,,,,,,,,,,,,,,,,,,,,,
208,730,,,,,180,815,,,,,,,,,,,,,,,,,,,,,,
209,24,,,,,181,622,,,,,,,,,,,,,,,,,,,,,,
210,748,,,,,182,235,,,,,,,,,,,,,,,,,,,,,,
211,747,,,,,183,608,,,,,,,,,,,,,,,,,,,,,,
212,701,,,,,184,32,,,,,,,,,,,,,,,,,,,,,,
213,705,,,,,185,420,,,,,,,,,,,,,,,,,,,,,,
214,821,,,,,186,860,,,,,,,,,,,,,,,,,,,,,,
215,X93,,,,,187,250,,,,,,,,,,,,,,,,,,,,,,
216,732,,,,,188,221,,,,,,,,,,,,,,,,,,,,,,
217,811,,,,,189,5,,,,,,,,,,,,,,,,,,,,,,
218,865,,,,,190,721,,,,,,,,,,,,,,,,,,,,,,
219,409,,,,,191,504,,,,,,,,,,,,,,,,,,,,,,
220,224,,,,,192,501,,,,,,,,,,,,,,,,,,,,,,
221,203,,,,,193,406,,,,,,,,,,,,,,,,,,,,,,
222,204B,,,,,194,724,,,,,,,,,,,,,,,,,,,,,,
223,211,,,,,195,604,,,,,,,,,,,,,,,,,,,,,,
